id,current_price,market_cap,price_change_percentage_24h,ath,atl,Time_stamp
spx6900,0.56169,525903652,-14.56585,0.985483,0.00131808,18-11-2024 17-29-24
goatseus-maximus,1.1,1109284858,-14.4517,1.35,0.04353971,18-11-2024 17-29-24
virtual-protocol,0.467008,468164351,-12.30783,0.603703,0.00748604,18-11-2024 17-29-24
pepecoin-2,3.8,458845816,-12.16188,7.51,0.01088097,18-11-2024 17-29-24
grass,2.38,581144833,-9.96232,3.89,0.654959,18-11-2024 17-29-24
fartcoin,0.330042,331475758,-7.21976,0.394513,0.02002855,18-11-2024 17-29-24
pyth-network,0.407511,1478298095,-7.07116,1.2,0.22352,18-11-2024 17-29-24
mog-coin,2.4e-06,937930061,-6.8711,2.97e-06,4.526e-09,18-11-2024 17-29-24
amp-token,0.00471574,380864082,-5.67155,0.120813,0.00140933,18-11-2024 17-29-24
gigachad-2,0.04549246,436915831,-5.669,0.07644,1.244e-05,18-11-2024 17-29-24
