id,current_price,market_cap,price_change_percentage_24h,ath,atl,Time_stamp
rune-pups,0.385702,386519070,33.31574,3.87,0.02136184,18-11-2024 17-23-32
hedera-hashgraph,0.111209,4207167809,31.61826,0.569229,0.00986111,18-11-2024 17-23-32
mantra-dao,4.19,3779398520,29.03846,4.45,0.01726188,18-11-2024 17-23-32
stellar,0.245426,7347640697,26.16227,0.875563,0.00047612,18-11-2024 17-23-32
ponke,0.699703,384538872,21.02109,0.745307,0.00927982,18-11-2024 17-23-32
enjincoin,0.213557,379780789,20.3312,4.82,0.01865964,18-11-2024 17-23-32
akash-network,3.84,950580554,18.22783,8.07,0.164994,18-11-2024 17-23-32
non-playable-coin,0.058669,473846477,17.36597,0.066169,4.561e-05,18-11-2024 17-23-32
crypto-com-chain,0.18407,4993823787,15.51157,0.965407,0.0121196,18-11-2024 17-23-32
kaspa,0.169417,4251075359,14.58131,0.207411,0.00017105,18-11-2024 17-23-32
