id,current_price,market_cap,price_change_percentage_24h,ath,atl,Time_stamp
quant-network,90.01,1308860744,9.85618,427.42,0.215773,18-11-2024
beam-2,0.02507292,1307549334,0.17886,0.04416304,0.0043383,18-11-2024
msol,302.67,1304553457,2.37315,302.73,8.93,18-11-2024
kucoin-shares,10.53,1268214185,-4.67879,28.83,0.342863,18-11-2024
gatechain-token,9.8,1251616128,-1.00224,12.94,0.25754,18-11-2024
arweave,18.76,1226396016,1.75164,89.24,0.298788,18-11-2024
gala,0.02959058,1168516834,1.34472,0.824837,0.00013475,18-11-2024
goatseus-maximus,1.14,1141394117,-10.72875,1.35,0.04353971,18-11-2024
flow,0.723565,1115609256,7.78664,42.4,0.391969,18-11-2024
bittorrent,1.12e-06,1088353313,-0.01204,3.43e-06,3.65368e-07,18-11-2024
flare-networks,0.02060408,1080860310,-1.97208,0.150073,0.00827405,18-11-2024
lido-dao,1.21,1079576510,-0.12146,7.3,0.40615,18-11-2024
cat-in-a-dogs-world,0.01180184,1047630442,-3.02096,0.01288153,0.00091206,18-11-2024
jasmycoin,0.02162706,1045666458,-3.524,4.79,0.00275026,18-11-2024
fasttoken,3.1,1032362289,0.20515,3.18,0.398142,18-11-2024
ether-fi-staked-eth,3080.88,1028439481,-1.91803,5307.23,2155.76,18-11-2024
akash-network,4.1,1010224879,25.24784,8.07,0.164994,18-11-2024
lombard-staked-btc,91537.0,998441809,0.72544,93317.0,52119.0,18-11-2024
matic-network,0.425607,998329951,1.49373,2.92,0.00314376,18-11-2024
helium,5.76,996308483,-5.12667,54.88,0.113248,18-11-2024
jupiter-staked-sol,258.32,993909157,2.52883,258.04,114.32,18-11-2024
starknet,0.469144,982841163,0.40327,4.41,0.321161,18-11-2024
eos,0.64698,980299988,0.66727,22.71,0.402746,18-11-2024
mog-coin,2.5e-06,973016837,-6.63041,2.97e-06,4.526e-09,18-11-2024
tokenize-xchange,11.95,953459129,7.7303,22.3,0.111255,18-11-2024
coredaoorg,1.031,950884120,4.8838,6.14,0.334237,18-11-2024
aioz-network,0.838228,950229794,9.07562,2.65,0.01099588,18-11-2024
aerodrome-finance,1.36,934593706,-2.43376,2.31,1.861e-05,18-11-2024
dydx-chain,1.32,928172500,1.78997,4.52,0.809127,18-11-2024
solv-protocol-solvbtc-bbn,91320.0,918644050,0.70702,92658.0,11402.13,18-11-2024
ecash,4.595e-05,908943146,0.09615,0.00038001,1.847e-05,18-11-2024
arbitrum-bridged-wbtc-arbitrum-one,91692.0,897675541,0.77442,92925.0,49594.0,18-11-2024
neo,12.6,888448032,-0.0769,198.38,0.078349,18-11-2024
neiro-3,0.00209936,882648402,0.01819,0.00301761,2.44e-06,18-11-2024
